menu_id,res_id,item_name,veg/non-veg,res_price,app_price
MENU_001,RES_017,Chicken Burger,Non-Veg,180,236
MENU_002,RES_017,Veg Burger,Veg,120,178
MENU_003,RES_017,Paneer Momos,Veg,150,202
MENU_004,RES_017,Veg Noodles,Veg,140,177
MENU_005,RES_017,Fried Rice,Veg,160,213
MENU_006,RES_017,Chicken Momos,Non-Veg,190,238
MENU_007,RES_017,Masala Dosa,Veg,130,166
MENU_008,RES_017,Chicken Noodles,Non-Veg,210,245
MENU_009,RES_018,Chicken Burger,Non-Veg,180,222
MENU_010,RES_018,Fried Rice,Veg,160,209
MENU_011,RES_018,Chicken Momos,Non-Veg,190,243
MENU_012,RES_018,Masala Dosa,Veg,130,173
MENU_013,RES_018,Veg Burger,Veg,120,180
MENU_014,RES_018,Veg Noodles,Veg,140,175
MENU_015,RES_018,Chicken Noodles,Non-Veg,210,269
MENU_016,RES_018,Paneer Momos,Veg,150,210
MENU_017,RES_019,Veg Noodles,Veg,140,178
MENU_018,RES_019,Paneer Momos,Veg,150,187
MENU_019,RES_019,Chicken Noodles,Non-Veg,210,257
MENU_020,RES_019,Fried Rice,Veg,160,198
MENU_021,RES_019,Masala Dosa,Veg,130,176
MENU_022,RES_019,Veg Burger,Veg,120,166
MENU_023,RES_019,Chicken Momos,Non-Veg,190,244
MENU_024,RES_019,Chicken Burger,Non-Veg,180,223
MENU_025,RES_020,Veg Burger,Veg,120,175
MENU_026,RES_020,Paneer Momos,Veg,150,204
MENU_027,RES_020,Chicken Noodles,Non-Veg,210,256
MENU_028,RES_020,Masala Dosa,Veg,130,183
MENU_029,RES_020,Fried Rice,Veg,160,201
MENU_030,RES_020,Chicken Burger,Non-Veg,180,237
MENU_031,RES_020,Chicken Momos,Non-Veg,190,227
MENU_032,RES_020,Veg Noodles,Veg,140,176
MENU_033,RES_021,Chicken Noodles,Non-Veg,210,259
MENU_034,RES_021,Chicken Momos,Non-Veg,190,245
MENU_035,RES_021,Veg Noodles,Veg,140,186
MENU_036,RES_021,Veg Burger,Veg,120,160
MENU_037,RES_021,Chicken Burger,Non-Veg,180,226
MENU_038,RES_021,Masala Dosa,Veg,130,176
MENU_039,RES_021,Fried Rice,Veg,160,201
MENU_040,RES_021,Paneer Momos,Veg,150,206
MENU_041,RES_022,Masala Dosa,Veg,130,179
MENU_042,RES_022,Paneer Momos,Veg,150,197
MENU_043,RES_022,Chicken Momos,Non-Veg,190,233
MENU_044,RES_022,Veg Burger,Veg,120,175
MENU_045,RES_022,Chicken Burger,Non-Veg,180,237
MENU_046,RES_022,Veg Noodles,Veg,140,192
MENU_047,RES_022,Fried Rice,Veg,160,202
MENU_048,RES_022,Chicken Noodles,Non-Veg,210,266
MENU_049,RES_023,Paneer Momos,Veg,150,187
MENU_050,RES_023,Chicken Momos,Non-Veg,190,231
MENU_051,RES_023,Veg Burger,Veg,120,173
MENU_052,RES_023,Chicken Burger,Non-Veg,180,237
MENU_053,RES_023,Fried Rice,Veg,160,205
MENU_054,RES_023,Masala Dosa,Veg,130,171
MENU_055,RES_023,Veg Noodles,Veg,140,195
MENU_056,RES_023,Chicken Noodles,Non-Veg,210,260
MENU_057,RES_024,Chicken Momos,Non-Veg,190,248
MENU_058,RES_024,Paneer Momos,Veg,150,203
MENU_059,RES_024,Chicken Noodles,Non-Veg,210,258
MENU_060,RES_024,Chicken Burger,Non-Veg,180,233
MENU_061,RES_024,Veg Noodles,Veg,140,187
MENU_062,RES_024,Veg Burger,Veg,120,166
MENU_063,RES_024,Fried Rice,Veg,160,202
MENU_064,RES_024,Masala Dosa,Veg,130,169
MENU_065,RES_025,Fried Rice,Veg,160,214
MENU_066,RES_025,Veg Burger,Veg,120,157
MENU_067,RES_025,Chicken Momos,Non-Veg,190,237
MENU_068,RES_025,Paneer Momos,Veg,150,197
MENU_069,RES_025,Chicken Burger,Non-Veg,180,234
MENU_070,RES_025,Veg Noodles,Veg,140,189
MENU_071,RES_025,Masala Dosa,Veg,130,181
MENU_072,RES_025,Chicken Noodles,Non-Veg,210,253
MENU_073,RES_026,Veg Burger,Veg,120,164
MENU_074,RES_026,Paneer Momos,Veg,150,198
MENU_075,RES_026,Chicken Momos,Non-Veg,190,230
MENU_076,RES_026,Fried Rice,Veg,160,209
MENU_077,RES_026,Veg Noodles,Veg,140,175
MENU_078,RES_026,Chicken Noodles,Non-Veg,210,268
MENU_079,RES_026,Chicken Burger,Non-Veg,180,238
MENU_080,RES_026,Masala Dosa,Veg,130,173
