order_id,menu_id,cust_id,qty,order_date,order_time,eta,delivery_time
ORD_1215,MENU_006,CUST_235,5,2024-11-24,13:30,28,13:49
ORD_1083,MENU_078,CUST_230,4,2024-05-09,21:30,43,21:51
ORD_953,MENU_040,CUST_282,5,2025-06-24,21:30,22,22:06
ORD_996,MENU_028,CUST_210,3,2024-03-17,20:30,37,21:06
ORD_1393,MENU_013,CUST_225,5,2025-02-26,20:45,43,21:13
ORD_886,MENU_048,CUST_273,5,2025-03-21,14:00,22,14:39
ORD_945,MENU_048,CUST_215,4,2024-10-29,19:15,25,19:52
ORD_1171,MENU_042,CUST_204,3,2025-06-17,19:45,38,20:06
ORD_1049,MENU_010,CUST_261,2,2024-12-25,21:45,25,22:22
ORD_1237,MENU_041,CUST_285,5,2024-02-03,15:45,23,16:22
ORD_800,MENU_080,CUST_284,1,2025-02-22,11:15,21,11:34
ORD_1034,MENU_007,CUST_238,4,2024-09-25,20:45,36,21:23
ORD_1231,MENU_063,CUST_256,3,2024-11-17,21:15,26,21:39
ORD_1331,MENU_025,CUST_210,5,2025-01-23,19:00,30,19:29
ORD_798,MENU_076,CUST_253,5,2025-01-15,11:15,35,11:33
ORD_1076,MENU_077,CUST_204,3,2024-03-10,10:30,21,10:49
ORD_728,MENU_016,CUST_262,3,2024-06-20,19:00,44,19:44
ORD_1424,MENU041,CUST_246,1,2024-04-10,20:35,45,21:11
ORD_1052,MENU_026,CUST_243,2,2024-03-01,14:15,42,15:00
ORD_1009,MENU_053,CUST_286,1,2024-06-22,12:30,29,12:56
ORD_1199,MENU_059,CUST_211,2,2024-07-23,14:15,31,14:55
ORD_1324,MENU_013,CUST_271,3,2025-05-25,21:15,27,21:56
ORD_1161,MENU_006,CUST_209,2,2025-06-11,12:00,29,12:40
ORD_909,MENU_051,CUST_259,1,2024-12-19,16:15,44,16:44
ORD_808,MENU_045,CUST_240,2,2024-01-03,14:15,24,14:50
ORD_959,MENU_010,CUST_255,4,2025-04-28,10:45,25,11:27
ORD_787,MENU_080,CUST_237,4,2025-03-10,21:30,34,22:15
ORD_1227,MENU_070,CUST_277,5,2025-07-20,16:45,36,17:27
ORD_1188,MENU_046,CUST_235,3,2025-06-27,13:00,41,13:18
ORD_1175,MENU_063,CUST_241,4,2024-05-23,21:00,40,21:33
ORD_819,MENU_075,CUST_267,4,2025-01-18,12:45,22,13:05
ORD_843,MENU_011,CUST_269,4,2024-11-26,20:30,24,21:02
ORD_883,MENU_055,CUST_264,3,2025-03-10,11:45,39,12:29
ORD_1276,MENU_006,CUST_204,1,2024-08-16,19:30,24,20:02
ORD_887,MENU_011,CUST_243,3,2024-06-12,10:45,21,11:07
ORD_960,MENU_075,CUST_256,5,2025-01-18,16:45,32,17:15
ORD_907,MENU_016,CUST_222,4,2024-10-31,17:00,42,17:19
ORD_1306,MENU_051,CUST_209,3,2025-04-02,21:15,23,21:39
ORD_739,MENU_047,CUST_222,1,2024-09-03,21:45,40,22:25
ORD_1183,MENU_055,CUST_255,1,2024-12-16,16:45,24,17:13
ORD_1150,MENU_005,CUST_215,2,2024-05-09,10:30,41,11:01
ORD_1106,MENU_041,CUST_231,2,2024-04-14,12:00,20,12:19
ORD_1035,MENU_039,CUST_245,2,2025-02-05,19:00,31,19:29
ORD_1189,MENU_001,CUST_257,1,2024-11-15,12:00,32,12:34
ORD_1072,MENU_063,CUST_249,1,2024-07-29,18:15,43,18:45
ORD_1353,MENU_043,CUST_222,3,2024-11-13,15:45,37,16:10
ORD_1408,MENU_005,CUST_259,5,2025-05-07,18:15,35,18:45
ORD_1313,MENU_077,CUST_209,5,2024-03-29,14:45,31,15:24
ORD_1357,MENU_018,CUST_209,2,2024-01-08,18:30,26,19:01
ORD_1102,MENU_029,CUST_267,2,2024-07-31,17:30,34,17:56
ORD_1294,MENU_019,CUST_271,5,2025-01-29,12:00,20,12:24
ORD_873,MENU_011,CUST_262,5,2024-07-10,20:00,36,20:29
ORD_1087,MENU_038,CUST_253,2,2024-01-13,13:00,35,13:29
ORD_850,MENU_015,CUST_236,3,2024-12-12,20:00,45,20:38
ORD_1316,MENU_025,CUST_210,4,2024-07-18,17:45,38,18:03
ORD_979,MENU_007,CUST_253,2,2025-04-22,11:45,44,12:29
ORD_1310,MENU_070,CUST_202,4,2024-10-20,21:00,44,21:44
ORD_1224,MENU_039,CUST_215,2,2024-07-19,13:00,32,13:24
ORD_1421,MENU033,CUST_251,2,2024-05-28,18:34,37,19:22
ORD_1249,MENU_046,CUST_262,1,2024-01-10,11:30,34,11:55
ORD_963,MENU_064,CUST_237,1,2024-08-23,13:45,31,14:07
ORD_982,MENU_068,CUST_241,4,2025-01-23,19:15,35,19:50
ORD_754,MENU_071,CUST_211,3,2025-04-06,21:45,29,22:04
ORD_1340,MENU_005,CUST_225,5,2025-02-25,11:30,41,12:07
ORD_782,MENU_063,CUST_250,3,2024-11-02,10:45,45,11:04
ORD_1184,MENU_022,CUST_258,4,2025-05-14,15:15,30,15:53
ORD_1005,MENU_043,CUST_210,4,2025-03-31,15:30,23,15:52
ORD_1047,MENU_028,CUST_222,3,2025-03-11,11:15,29,12:00
ORD_961,MENU_077,CUST_214,2,2024-05-16,20:30,23,20:53
ORD_1157,MENU_080,CUST_218,3,2024-10-02,15:00,30,15:44
ORD_1268,MENU_001,CUST_277,5,2024-11-21,17:45,30,18:22
ORD_1082,MENU_025,CUST_257,3,2024-06-16,17:30,36,18:04
ORD_1114,MENU_006,CUST_220,4,2025-05-06,18:45,31,19:21
ORD_1279,MENU_025,CUST_273,2,2025-01-02,10:45,27,11:05
ORD_908,MENU_002,CUST_220,3,2025-05-10,17:15,30,17:52
ORD_1299,MENU_071,CUST_253,1,2024-04-10,16:15,28,16:48
ORD_821,MENU_017,CUST_271,1,2025-07-29,15:00,33,15:29
ORD_1038,MENU_017,CUST_210,4,2025-03-04,19:15,38,19:45
ORD_860,MENU_020,CUST_276,3,2024-09-01,14:45,26,15:14
ORD_898,MENU_037,CUST_231,3,2025-05-05,18:45,44,19:16
ORD_983,MENU_054,CUST_257,2,2025-05-17,17:15,43,17:58
ORD_773,MENU_047,CUST_271,2,2024-10-16,21:30,38,22:06
ORD_812,MENU_019,CUST_218,4,2025-04-07,18:15,39,18:34
ORD_857,MENU_003,CUST_257,2,2025-06-23,10:30,39,11:00
ORD_1036,MENU_007,CUST_281,2,2024-10-31,19:00,41,19:22
ORD_783,MENU_055,CUST_257,2,2025-03-17,12:15,36,12:46
ORD_1181,MENU_029,CUST_271,4,2025-04-26,10:45,26,11:19
ORD_1205,MENU_020,CUST_262,5,2024-01-10,12:15,30,12:44
ORD_879,MENU_065,CUST_241,1,2024-02-12,15:30,36,16:00
ORD_1134,MENU_028,CUST_211,1,2024-08-18,12:45,22,13:28
ORD_1281,MENU_019,CUST_202,3,2025-04-10,10:45,23,11:25
ORD_1056,MENU_054,CUST_252,1,2024-04-05,21:45,40,22:24
ORD_1043,MENU_041,CUST_211,1,2024-03-25,19:00,45,19:42
ORD_737,MENU_064,CUST_259,1,2024-08-05,15:30,30,15:56
ORD_785,MENU_039,CUST_241,1,2024-05-26,13:45,40,14:11
ORD_772,MENU_006,CUST_270,1,2024-03-12,14:45,30,15:28
ORD_958,MENU_022,CUST_213,1,2024-03-15,10:45,42,11:05
ORD_1247,MENU_041,CUST_266,2,2025-07-10,18:45,22,19:14
ORD_1209,MENU_020,CUST_210,5,2024-04-16,16:45,45,17:21
ORD_1352,MENU_018,CUST_214,5,2024-06-30,19:45,40,20:26
ORD_722,MENU_017,CUST_231,4,2025-07-31,20:00,22,20:38
ORD_1235,MENU_016,CUST_229,3,2024-02-24,20:00,26,20:26
ORD_902,MENU_005,CUST_202,5,2024-12-20,18:30,22,18:56
ORD_814,MENU_011,CUST_231,3,2024-03-16,11:30,39,11:52
ORD_768,MENU_060,CUST_259,4,2024-09-02,21:15,29,21:50
